COMPONENT,Site Name,Joint Base,State Terr,Oper Stat,PERIMETER,AREA
Army Active,Allen Stagefield AL,N/A,Alabama,Active,1.64138338,0.17657484
Army Active,Louisville Stagefield AL,N/A,Alabama,Active,1.7233805,0.16235675
Army Active,White Sands Missile Range NM,N/A,New Mexico,Active,332.1331893,3548.570164
Army Active,Fort Monroe,N/A,Virginia,Inactive,10.20968811,0.87723297
MC Active,MCB Camp Smith,N/A,Hawaii,Active,2.9318851,0.33124636
MC Active,MC Trng Area Bellows,N/A,Hawaii,Active,9.14424433,1.61154585
Navy Active,Glenview,N/A,Illinois,Active,2.07135695,0.05065759
Navy Active,ALF Orange,N/A,Texas,Active,24.10230352,5.29396923
AF Active,McClellan AFB,N/A,California,Inactive,13.20287133,4.50694328
AF Active,Saylor Creek Air Force Range,N/A,Idaho,Active,57.14622739,171.097376
AF Active,Laughlin AFB,N/A,Texas,Active,12.78352045,6.39610569
AF Active,Buckley AFB,N/A,Colorado,Active,13.01986607,5.17886
AF Active,Tyndall AFB,N/A,Florida,Active,118.356301,45.24040184
AF Active,Columbus Auxiliary Airfield,N/A,Mississippi,Active,6.76446487,1.41000299
AF Active,Goodfellow AFB,N/A,Texas,Active,5.71761646,1.68714349
AF Active,Fort Richardson,Joint Base Elmendorf - Richardson,Alaska,Active,78.52652418,93.34278088
AF Active,Birch Lake Recreation Annex,N/A,Alaska,Active,2.03649307,0.07970144
AF Guard,Louisville IAP-Standiford FL Site 1,N/A,Kentucky,Active,1.52012828,0.11845742
AF Active,Kelly AFB,Joint Base San Antonio,Texas,Active,13.83437218,2.93206231
Army Guard,NG Camp Joseph T Robinson,N/A,Arkansas,Active,37.22093134,51.75645043
Army Guard,NG Camp Ashland,N/A,Nebraska,Active,7.23770611,1.63072717
Army Guard,NG Bethel ARM FMS,N/A,Alaska,Inactive,0.32327446,0.00577393
Army Guard,NG GUARNG Barrigada Complex,N/A,Guam,Active,1.28716361,0.08005503
Army Guard,NG Volkstone,N/A,West Virginia,Active,5.72896578,0.78777573
Navy Active,NAVBASE Coronado,N/A,California,Active,8.97992621,4.33722524
Navy Active,Finegayan South,Joint Region Marianas,Guam,Active,3.31942933,0.45230307
AF Active,Grand Forks Defense Fuel Support Point,N/A,North Dakota,Active,0.51556692,0.01757549
Navy Active,CSO Barbers Point HI,N/A,Hawaii,Inactive,24.94562883,4.45031319
Army Active,Fort Bliss,N/A,Texas,Active,347.0801243,1742.551283
Navy Active,Jim Creek,N/A,Washington,Active,15.1572205,7.53465988
Army Active,Pohakuloa Training Area,N/A,Hawaii,Active,89.06464246,205.6747692
Army Active,Military Ocean Tml Sunny Point,N/A,North Carolina,Active,40.63022482,18.03094326
Army Active,Waianae Kai Military Reservation,N/A,Hawaii,Active,1.01506332,0.02107027
Army Active,Picatinny Arsenal,N/A,New Jersey,Active,21.652624,10.27481807
Navy Active,Arlington Service Ctr,N/A,Virginia,Active,0.80304023,0.03030048
Navy Active,CBC Gulfport MS,N/A,Mississippi,Active,6.73341033,1.75055909
AF Active,UTTR - North,N/A,Utah,Active,129.8917705,575.8092551
AF Reserve,March ARB,N/A,California,Active,14.77766976,3.37656166
AF Active,Newington Defense Fuel Support Point,N/A,New Hampshire,Active,2.11401517,0.25103042
AF Active,Gila Bend Air Force Auxiliary Field,N/A,Arizona,Active,7.41839854,3.14372097
AF Active,Lakehurst,Joint Base McGuire - Dix - Lakehurst,New Jersey,Active,19.03346649,11.62878241
AF Active,Randolph AFB,Joint Base San Antonio,Texas,Active,16.99211849,4.5043611
Army Guard,NG Macon Readiness Center,N/A,Georgia,Active,0.83216291,0.04500699
Army Guard,NG MTA Camp Butner,N/A,North Carolina,Active,12.78003577,7.67854008
Army Guard,NG MTA Camp Rilea,N/A,Oregon,Active,8.89484029,2.81777389
Army Guard,NG Frankfort Boone NG Center,N/A,Kentucky,Active,6.58181753,0.55610637
Navy Active,Makaha Ridge,N/A,Hawaii,Active,2.4600103,0.32285486
Navy Active,NOLF Wolf,N/A,Alabama,Active,5.45687663,0.65753993
Navy Active,NAVSUPPACT Annapolis,N/A,Maryland,Active,2.65869576,0.29358261
AF Active,Jonathan Dickinson Tracking Annex,N/A,Florida,Active,1.3989964,0.01747948
Army Active,Umatilla Chemical Depot,Joint Base Lewis - McChord,Oregon,Active,22.91816047,30.99643263
Army Active,Defense Supply Center Columbus,N/A,Ohio,Active,3.93089208,0.90371811
Army Active,US Army Garrison Selfridge,N/A,Michigan,Active,1.59094962,0.16074377
Army Active,Fort Wingate Depot Activity,N/A,New Mexico,Inactive,22.06779046,12.90102004
Army Active,Pupukea Paalaa Uka Mil Road,N/A,Hawaii,Active,19.34411399,20.71375137
MC Active,MCRD Beaufort,N/A,South Carolina,Active,21.15272895,12.92052491
MC Active,Marine Corps Museum,N/A,Virginia,Active,1.77670081,0.15763888
Navy Active,Det Phil Pny Annex,N/A,Pennsylvania,Active,6.95737755,0.41201864
Navy Active,Naval Station Newport RI,N/A,Rhode Island,Active,27.72772266,1.43731762
Navy Active,Sasa Valley,Joint Region Marianas,Guam,Active,4.98917762,0.6576552
AF Active,Utah Test and Training Range South UT,N/A,Utah,Active,156.9418559,900.7713739
AF Active,Hill AFB,N/A,Utah,Active,17.92093484,10.33916226
AF Reserve,Youngstown,N/A,Ohio,Active,5.60290996,0.49828417
